terminal time is 40
initial theta is:  [-1.5  0.   0.   0.1  0.2]
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-1.62794225 -0.05146725  0.48383153  0.3381702   0.2       ]
iteration 3: [-1.2113561   0.03262014 -0.16261246 -0.12806182  0.2       ]
iteration 4: [-1.19666729  0.01224423  0.20671093 -0.25218645  0.2       ]
iteration 5: [-0.50394953  0.05198627 -0.01604002 -1.13037341  0.2       ]
iteration 6: [-0.58260807  0.03110423  0.6731332  -1.07612772  0.2       ]
iteration 7: [-0.45303481  0.02321452  0.70082279 -1.31754989  0.2       ]
iteration 79: [  3.45979129   0.05303823  11.85566311  -9.74249262   0.2       ]
iteration 80: [  3.4475853    0.05301279  11.93693015  -9.75004093   0.2       ]
iteration 81: [  3.41488834   0.05290409  12.0239016   -9.74908625   0.2       ]
iteration 82: [  3.39535938   0.05255484  12.08992768  -9.76446564   0.2       ]
iteration 83: [  3.37911523   0.05192624  12.15004694  -9.78388425   0.2       ]
iteration 84: [  3.36331736   0.05132591  12.24050653  -9.78725884   0.2       ]
iteration 85: [  3.3478045    0.05090932  12.30091664  -9.7876883    0.2       ]
iteration 86: [  3.32353754   0.05281634  12.32611501  -9.78880094   0.2       ]
iteration 87: [  3.30419951   0.05254408  12.41037041  -9.79181943   0.2       ]
iteration 88: [  3.28639953   0.0516746   12.49642032  -9.80456728   0.2       ]
iteration 89: [  3.26417553   0.05204831  12.56356377  -9.80556213   0.2       ]
iteration 90: [  3.24424501   0.0516392   12.64186599  -9.81208371   0.2       ]
iteration 91: [  3.22186105   0.05160212  12.71479748  -9.82122855   0.2       ]
iteration 92: [  3.21163328   0.05118629  12.75103992  -9.83471968   0.2       ]
iteration 93: [  3.19152011   0.05124491  12.81373098  -9.8419024    0.2       ]
iteration 94: [  3.17505312   0.05158675  12.81433476  -9.85074422   0.2       ]
iteration 95: [  3.15635628   0.0513049   12.88629512  -9.84504004   0.2       ]
iteration 96: [  3.13954045   0.05106132  12.89783481  -9.85520654   0.2       ]
iteration 97: [  3.12339446   0.05173052  12.93716675  -9.86598394   0.2       ]
iteration 98: [  3.10332266   0.05327146  12.94197893  -9.86817472   0.2       ]
iteration 99: [  3.07544404   0.05349341  12.985833    -9.86336129   0.2       ]
iteration 100: [  3.05459714   0.05368108  13.04467538  -9.87968806   0.2       ]
iteration 101: [  3.03992645   0.05318071  13.06329257  -9.88344953   0.2       ]
iteration 102: [  3.03006186   0.05328262  13.08310965  -9.88934093   0.2       ]
iteration 103: [  3.01516543   0.05362485  13.1085536   -9.90269798   0.2       ]
iteration 104: [  3.00857708   0.05405549  13.13013     -9.90470702   0.2       ]
iteration 105: [  2.99749869   0.05282938  13.19824402  -9.90497818   0.2       ]
iteration 106: [  2.98273001   0.05363448  13.21246467  -9.90329898   0.2       ]
iteration 107: [  2.96838819   0.05354823  13.26102144  -9.9128142    0.2       ]
iteration 108: [  2.94715853   0.05341833  13.27360437  -9.92936861   0.2       ]
iteration 109: [  2.93678729   0.05328634  13.30697645  -9.93677638   0.2       ]
iteration 110: [  2.91574382   0.05416243  13.33133308  -9.93287103   0.2       ]
iteration 111: [  2.89670084   0.05466017  13.33897247  -9.94556591   0.2       ]
iteration 112: [  2.88551783   0.05509226  13.35024232  -9.95052069   0.2       ]
