terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.1
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.35123598 -0.08322877 -0.3460094   1.16464074  0.2       ]
iteration 76: [ -6.45392719  -0.59471525 -16.94850922   9.15373542   0.2       ]
iteration 77: [ -6.45202104  -0.59398663 -17.07197083   9.13310304   0.2       ]
iteration 78: [ -6.43870349  -0.59343474 -17.16156441   9.13167056   0.2       ]
iteration 79: [ -6.43322784  -0.59278022 -17.25551727   9.11508485   0.2       ]
iteration 80: [ -6.42308869  -0.59285272 -17.31063196   9.11111483   0.2       ]
iteration 81: [ -6.41169973  -0.59200546 -17.37011139   9.10555485   0.2       ]
iteration 82: [ -6.40882154  -0.59273979 -17.42159783   9.09976816   0.2       ]
iteration 83: [ -6.40069952  -0.59144752 -17.4916864    9.09808294   0.2       ]
iteration 84: [ -6.38415667  -0.59277321 -17.50385125   9.10537249   0.2       ]
iteration 85: [ -6.36150347  -0.59247967 -17.52018316   9.0956544    0.2       ]
iteration 86: [ -6.34676656  -0.5912376  -17.66949251   9.06880909   0.2       ]
iteration 87: [ -6.33967568  -0.59052355 -17.71189119   9.06609172   0.2       ]
iteration 88: [ -6.34344763  -0.59045488 -17.7420539    9.057503     0.2       ]
iteration 89: [ -6.32976358  -0.59012547 -17.78829251   9.03432547   0.2       ]
iteration 90: [ -6.31234624  -0.58933647 -17.82122865   9.00947597   0.2       ]
iteration 91: [ -6.29911562  -0.58929746 -17.89331622   8.99505477   0.2       ]
iteration 92: [ -6.28588582  -0.5876795  -17.99153781   8.9895282    0.2       ]
iteration 93: [ -6.27275163  -0.58594379 -18.05618937   8.96051409   0.2       ]
iteration 94: [ -6.254981    -0.58481561 -18.15854944   8.94162602   0.2       ]
iteration 95: [ -6.23806806  -0.58401165 -18.25406796   8.92688797   0.2       ]
iteration 96: [ -6.230491    -0.58302028 -18.33636641   8.91912862   0.2       ]
iteration 97: [ -6.20951459  -0.58187701 -18.41622083   8.88914343   0.2       ]
iteration 98: [ -6.19155516  -0.5800224  -18.53560322   8.8871618    0.2       ]
iteration 99: [ -6.19179725  -0.58040937 -18.6035047    8.88144734   0.2       ]
iteration 100: [ -6.18467931  -0.57884825 -18.68632493   8.86116274   0.2       ]
iteration 101: [ -6.17869248  -0.57978903 -18.73843348   8.86086429   0.2       ]
iteration 102: [ -6.16549624  -0.57934909 -18.76276274   8.85424336   0.2       ]
iteration 103: [ -6.15779455  -0.57951986 -18.80275176   8.8305287    0.2       ]
iteration 104: [ -6.14466137  -0.57967843 -18.85087626   8.80846064   0.2       ]
iteration 105: [ -6.12577681  -0.57987542 -18.93156308   8.79517045   0.2       ]
iteration 106: [ -6.11424858  -0.579479   -18.9914492    8.77877108   0.2       ]
iteration 107: [ -6.09941825  -0.57858276 -19.0600954    8.76226053   0.2       ]
iteration 108: [ -6.09524028  -0.57813921 -19.10743675   8.76417001   0.2       ]
iteration 109: [ -6.07524732  -0.57679842 -19.1764408    8.74599747   0.2       ]
iteration 110: [ -6.08617354  -0.57630948 -19.22012129   8.74940358   0.2       ]
iteration 111: [ -6.07330131  -0.5753195  -19.28579968   8.72818179   0.2       ]
iteration 112: [ -6.06475196  -0.57444741 -19.33730131   8.72106995   0.2       ]
iteration 113: [ -6.05233025  -0.5739748  -19.39340479   8.72248085   0.2       ]
iteration 114: [ -6.04652252  -0.57311863 -19.49010637   8.69790109   0.2       ]
iteration 115: [ -6.03239334  -0.57193784 -19.55154147   8.67958682   0.2       ]
iteration 116: [ -6.02555589  -0.57213616 -19.58434375   8.67483      0.2       ]
iteration 117: [ -6.01621053  -0.57111461 -19.61346392   8.66282079   0.2       ]
