snaptimes are [ 0 10 15 20 40]
initial theta is:  [-1.09639492  0.17766198 -0.19591798  0.57649007  0.2       ]
Nx test is: 500
Nx observed are: [1000, 1000, 1000, 1000, 1000]
Alpha is : 1
iteration 0: [-1.09639492  0.17766198 -0.19591798  0.57649007  0.2       ]
iteration 1: [-1.53100134  0.18342263  0.10199102  1.150585    0.2       ]
iteration 2: [-1.29669247  0.19849041 -0.2142405   0.76752564  0.2       ]
iteration 3: [-1.5572864   0.2023706  -0.1258237   0.98233995  0.2       ]
iteration 4: [-1.50725303  0.23364756 -0.21240554  0.98547395  0.2       ]
iteration 5: [-1.90928358  0.27389628 -0.47552302  1.32530535  0.2       ]
iteration 6: [-1.77554401  0.2955153  -0.11562476  1.32859607  0.2       ]
iteration 7: [-2.02022564  0.32951143 -0.03807039  1.67601632  0.2       ]
iteration 8: [-2.18942473  0.36139034  0.15854696  1.87071516  0.2       ]
iteration 9: [-2.23807626  0.40440343  0.42907649  2.08513227  0.2       ]
iteration 10: [-2.24152827  0.4406894   0.76813157  2.20519777  0.2       ]
iteration 11: [-2.37216857  0.46849391  1.09575728  2.54063901  0.2       ]
iteration 12: [-2.62104879  0.48568964  1.55040052  2.9942185   0.2       ]
iteration 13: [-2.66770552  0.51119414  2.06076597  3.27509702  0.2       ]
iteration 14: [-2.68079244  0.53003866  2.34087749  3.38112749  0.2       ]
iteration 15: [-2.64995863  0.53948859  3.08913217  3.49610711  0.2       ]
iteration 16: [-2.48409686  0.55851716  3.73062336  3.45637114  0.2       ]
iteration 17: [-2.59702954  0.54111394  4.2473411   3.77567801  0.2       ]
iteration 18: [-2.4809776   0.54946789  4.7454421   3.78630188  0.2       ]
iteration 19: [-2.47808914  0.549118    5.19018474  3.89446751  0.2       ]
iteration 20: [-2.42315419  0.5520135   5.66546613  3.96078674  0.2       ]
iteration 21: [-2.39633303  0.55481502  6.03693717  3.96759416  0.2       ]
iteration 22: [-2.27756399  0.56391371  6.3365268   3.94091667  0.2       ]
iteration 23: [-2.25915489  0.56259473  6.6893601   4.03488695  0.2       ]
iteration 24: [-2.2397644   0.55860351  7.1236862   4.09025702  0.2       ]
iteration 25: [-2.13800747  0.5648695   7.41457674  4.02110492  0.2       ]
iteration 26: [-2.14884018  0.55912917  8.18156236  4.1050071   0.2       ]
iteration 27: [-2.10906416  0.55321036  8.76630613  4.16413726  0.2       ]
iteration 28: [-2.08878965  0.55012782  9.2184753   4.15596448  0.2       ]
iteration 29: [-2.02789962  0.5484711   9.51867086  4.16486696  0.2       ]
iteration 30: [ -2.03548337   0.54418733  10.03942539   4.21329622   0.2       ]
iteration 31: [ -1.99322417   0.54438307  10.37847041   4.24960731   0.2       ]
iteration 32: [ -1.97545471   0.5407176   10.73247351   4.31772366   0.2       ]
iteration 33: [ -1.95461131   0.53583433  10.99936245   4.34976351   0.2       ]
iteration 34: [ -1.95851292   0.53515953  11.38113179   4.40057508   0.2       ]
iteration 35: [ -1.89416865   0.53336548  11.74703319   4.43693585   0.2       ]
iteration 36: [ -1.87725681   0.53321518  12.04769839   4.40785954   0.2       ]
iteration 37: [ -1.79108068   0.532283    12.19156353   4.46647428   0.2       ]
iteration 38: [ -1.722442     0.53381497  12.56920151   4.46069066   0.2       ]
iteration 39: [ -1.6962424    0.53422548  12.96423197   4.4409518    0.2       ]
iteration 40: [ -1.67599483   0.53606396  13.13236571   4.47209878   0.2       ]
iteration 41: [ -1.61430539   0.54036391  13.3796447    4.39250651   0.2       ]
iteration 42: [ -1.5783933    0.53988232  13.5628998    4.40220478   0.2       ]
iteration 43: [ -1.53968922   0.53670711  13.9932443    4.48344283   0.2       ]
iteration 44: [ -1.47600055   0.53706513  14.22600357   4.52117858   0.2       ]
iteration 45: [ -1.45250205   0.540927    14.38088284   4.55067518   0.2       ]
